Date,P1,P2,P3,P4,P5,Red
2022-08-19,4,8,14,17,30,8
2022-08-22,6,18,22,30,32,1
2022-08-24,2,18,19,28,30,3
2022-08-26,4,16,17,26,32,8
2022-08-29,8,9,13,16,28,6
2022-08-31,13,22,25,32,33,3
2022-09-02,10,18,20,21,30,8
2022-09-05,10,14,16,17,25,6
2022-09-07,4,22,25,30,31,7
2022-09-09,3,7,10,28,32,9
2022-09-12,15,16,25,29,34,4
2022-09-14,9,12,15,20,30,6
2022-09-16,4,9,12,17,18,3
2022-09-19,20,2,29,17,22,8
2022-09-21,5,17,19,30,33,3
2022-09-23,3,9,13,19,20,7
2022-09-26,7,8,11,18,30,9
2022-09-28,5,12,21,27,31,1
2022-09-30,3,11,17,19,27,10
2022-10-03,7,11,15,18,33,3
2022-10-05,3,19,24,30,34,1
2022-10-07,15,17,28,32,33,10
2022-10-10,9,15,18,19,24,10
2022-10-12,10,13,21,26,27,7
2022-10-14,12,15,20,25,28,9
2022-10-17,8,16,17,22,25,9
2022-10-19,4,17,22,25,27,2
2022-10-21,8,9,10,14,32,8
2022-10-24,1,12,15,20,24,7
2022-10-26,16,21,26,28,35,6
2022-10-28,1,13,15,18,27,1
2022-10-31,9,15,16,18,31,1
2022-11-02,13,16,20,24,31,4
2022-11-04,13,16,26,31,35,4
2022-11-07,7,10,17,25,33,10
2022-11-09,9,10,11,12,33,8
2022-11-11,5,8,12,26,29,10
2022-11-14,2,14,17,34,35,9
2022-11-16,15,19,21,27,32,9
2022-11-18,7,9,14,21,24,4
2022-11-21,5,8,12,16,26,1
2022-11-23,2,9,12,13,15,3
2022-11-25,6,8,12,16,18,3
2022-11-28,9,10,17,22,27,5
2022-11-30,4,15,17,18,27,7
2022-12-02,1,4,6,17,19,3
2022-12-05,5,11,13,19,21,9
2022-12-07,14,16,18,29,34,2
2022-12-09,2,4,27,29,33,10
2022-12-12,1,3,5,7,14,8
2022-12-14,8,11,16,27,28,7
2022-12-16,5,15,23,26,28,10
2022-12-19,4,7,24,27,29,5
2022-12-21,2,9,14,18,30,9
2022-12-23,14,17,32,34,35,10
2022-12-28,9,17,23,26,32,4
2022-12-30,13,27,28,29,31,9
2023-01-04,3,11,14,24,30,2
2023-01-09,1,5,7,25,31,1
2023-01-11,9,16,31,34,35,3
2023-01-13,9,14,17,22,34,4
2023-01-16,1,9,19,23,27,7
2023-01-18,1,10,12,15,33,8
2023-01-20,7,10,15,24,30,5
2023-01-23,7,12,13,17,25,2
2023-01-25,3,24,25,29,35,4
2023-01-27,2,6,15,31,32,9
2023-01-30,4,12,27,32,33,4
2023-02-01,4,14,29,33,34,10
2023-02-03,9,25,27,31,33,4
2023-02-06,8,11,17,21,28,10
2023-02-08,2,6,17,29,33,4
2023-02-10,16,17,20,22,30,7
2023-02-13,1,12,18,22,30,1
2023-02-15,10,12,14,25,33,4
2023-02-17,17,20,21,26,33,10
2023-02-20,5,10,20,29,35,10
2023-02-22,2,5,11,21,31,10
2023-02-24,6,12,21,25,28,9
2023-02-27,6,9,17,22,25,7
2023-03-01,19,24,25,30,33,8
2023-03-03,2,7,12,17,34,4
2023-03-06,3,7,17,19,33,10
2023-03-08,4,5,7,8,22,7
2023-03-10,2,5,15,18,31,10
2023-03-13,14,16,20,32,35,9
2023-03-15,13,15,17,18,28,1
2023-03-17,4,5,13,24,26,4
2023-03-20,7,11,17,18,21,10
2023-03-22,3,13,23,25,32,10
2023-03-24,10,16,22,24,29,7
2023-03-27,7,11,18,27,32,3
2023-03-29,4,12,14,15,24,5
2023-03-31,17,18,20,33,35,1
2023-04-03,17,18,25,29,31,6
2023-04-05,3,9,19,21,33,6
2023-04-10,8,11,16,30,35,2
2023-04-12,2,5,8,15,20,10
2023-04-14,9,18,22,33,35,9
2023-04-17,2,12,15,16,31,2
2023-04-19,7,18,21,24,25,5
2023-04-21,12,22,24,27,28,10
2023-04-24,2,15,17,23,33,9
2023-04-26,14,17,23,33,34,4
2023-04-28,3,5,6,7,35,1
2023-05-01,4,11,19,25,26,1
2023-05-03,6,11,20,25,34,9
2023-05-05,6,10,18,23,26,8
2023-05-08,2,4,11,12,31,6
2023-05-10,12,13,22,24,34,1
2023-05-12,6,9,10,12,19,3
2023-05-15,6,9,12,20,31,6
2023-05-17,15,20,30,31,34,8
2023-05-19,15,16,20,29,32,7
2023-05-22,6,7,8,9,21,2
2023-05-24,7,17,19,28,35,10
2023-05-26,10,19,25,26,35,7
2023-05-29,1,3,5,31,35,9
2023-05-31,3,13,29,30,33,10
2023-06-02,4,6,16,22,34,9
2023-06-05,7,21,23,28,34,5
2023-06-07,14,15,19,21,32,7
2023-06-09,11,12,19,21,23,4
2023-06-12,2,6,7,17,32,8
2023-06-14,1,12,24,30,31,1
2023-06-16,2,12,15,19,22,8
2023-06-19,3,4,7,10,20,7
2023-06-21,7,10,14,19,34,9
2023-06-23,14,19,20,27,34,2
2023-06-26,1,16,23,24,27,10
2023-06-28,5,17,18,19,23,1
2023-06-30,5,7,10,21,22,5
2023-07-03,9,18,21,28,29,3
2023-07-05,8,11,13,17,20,7
2023-07-07,4,10,24,26,35,1
2023-07-10,6,26,27,30,35,6
2023-07-12,7,8,10,18,23,6
2023-07-14,2,7,21,24,35,9
2023-07-17,5,9,15,28,29,7
2023-07-19,1,6,20,26,32,2
2023-07-21,10,13,29,34,35,2
2023-07-24,2,4,6,31,34,6
2023-07-26,3,7,10,23,24,5
2023-07-28,14,22,24,26,31,7
2023-07-31,2,3,17,23,32,9
2023-08-02,3,4,6,10,21,10
2023-08-04,2,16,23,29,34,4
2023-08-07,2,4,9,17,19,2
2023-08-09,9,10,11,13,20,3
2023-08-11,11,13,19,23,32,6
2023-08-14,4,9,24,26,33,7
2023-08-16,10,12,29,30,32,10
2023-08-18,13,16,21,24,27,10
2023-08-21,5,11,22,24,27,8
2023-08-23,2,9,20,27,28,5
2023-08-25,5,9,13,21,31,7
2023-08-28,1,7,12,13,25,8
2023-08-30,9,13,15,21,31,9
2023-09-01,6,21,22,34,35,3
2023-09-04,7,11,23,27,28,5
2023-09-06,8,24,27,31,32,4
2023-09-08,11,19,22,32,33,6
2023-09-11,4,12,18,23,33,3
2023-09-13,8,16,25,30,34,8
2023-09-15,9,10,16,25,32,2
2023-09-18,5,9,11,31,35,6
2023-09-20,6,22,23,28,34,7
2023-09-22,5,12,16,22,32,8
2023-09-25,10,16,17,21,34,1
2023-09-27,12,17,22,24,31,5
2023-09-29,3,10,17,26,29,9
2023-10-02,2,8,14,24,25,3
2023-10-04,8,10,14,29,33,10
2023-10-06,10,11,20,27,33,10
2023-10-09,5,16,19,22,31,4
2023-10-11,3,9,16,22,29,2
2023-10-13,6,7,12,15,25,1
2023-10-16,8,13,14,24,25,7
2023-10-18,2,8,17,28,30,5
2023-10-20,2,12,30,31,34,8
2023-10-23,13,27,30,31,32,1
2023-10-25,7,8,13,15,25,8
2023-10-27,7,14,17,26,35,4
2023-10-30,5,21,30,32,34,7
2023-11-01,5,10,26,30,33,10
2023-11-03,1,4,6,9,13,5
2023-11-06,3,14,15,21,27,2
2023-11-08,10,14,19,23,28,6
2023-11-10,3,6,13,32,35,6
2023-11-13,10,21,22,31,35,1
2023-11-15,2,15,17,20,35,6
2023-11-17,9,13,15,25,33,5
2023-11-20,18,19,23,28,34,8
2023-11-22,8,13,15,19,35,3
2023-11-24,9,14,15,23,25,8
2023-11-27,23,26,28,30,34,1
2023-11-29,15,22,31,33,34,6
2023-12-01,5,6,15,18,20,2
2023-12-04,11,14,22,29,35,6
2023-12-06,5,9,10,28,35,8
2023-12-08,1,8,11,12,22,6
2023-12-11,6,8,11,12,33,1
2023-12-13,1,2,12,17,19,9
2023-12-15,1,23,24,31,33,1
2023-12-18,6,13,17,24,30,10
2023-12-20,6,13,19,28,29,8
2023-12-22,14,18,20,22,28,9
2023-12-27,1,13,15,20,22,7
2023-12-29,1,12,14,16,19,7
2024-01-03,4,6,7,21,28,4
2024-01-05,7,8,18,30,32,8
2024-01-08,1,6,13,14,30,3
2024-01-10,5,6,16,27,35,4
2024-01-12,16,17,18,19,25,7
2024-01-15,2,3,6,14,33,3
2024-01-17,2,8,15,19,24,7
2024-01-19,8,10,11,26,31,10
2024-01-22,3,5,6,25,33,4
2024-01-24,9,11,25,26,27,1
2024-01-26,12,20,25,33,34,6
2024-01-29,2,3,22,23,35,8
2024-01-31,2,4,9,13,14,9
2024-02-02,11,12,19,20,32,8
2024-02-05,4,6,8,31,34,8
2024-02-07,2,8,10,16,34,1
2024-02-09,4,9,12,15,22,6
2024-02-12,3,4,6,12,15,2
2024-02-14,5,24,25,27,29,6
2024-02-16,4,6,14,23,26,10
2024-02-19,2,5,15,22,23,10
2024-02-21,4,12,15,29,32,10
2024-02-23,3,7,19,21,31,5
2024-02-26,14,20,23,29,33,8
2024-02-28,2,7,20,28,29,4
2024-03-01,4,5,15,19,35,6
2024-03-04,4,7,8,22,33,5
2024-03-06,9,13,24,30,35,4
2024-03-08,10,15,27,28,34,10
2024-03-11,4,12,23,25,29,5
2024-03-13,1,5,22,32,35,8
2024-03-15,15,18,19,21,28,8
2024-03-18,2,23,26,27,32,7
2024-03-20,4,9,10,13,14,9
2024-03-22,5,7,11,14,21,7
2024-03-25,1,11,20,30,31,9
2024-03-27,1,14,22,29,32,2
2024-04-01,7,12,19,21,25,6
2024-04-03,12,20,23,25,26,6
2024-04-05,1,15,25,27,34,10
2024-04-08,1,12,26,27,34,7
2024-04-10,1,2,10,17,31,3
2024-04-12,4,6,9,11,15,10
2024-04-15,1,4,5,31,32,6
2024-04-17,1,6,16,17,22,7
2024-04-19,6,7,9,27,35,4
2024-04-22,6,20,23,27,31,4
2024-04-24,1,3,5,7,8,9
2024-04-26,2,7,10,25,32,2
2024-04-29,17,22,24,29,32,1
2024-05-01,1,12,19,22,35,9
2024-05-03,1,19,25,29,34,4
2024-05-06,1,3,4,10,30,4
2024-05-08,1,2,14,19,24,6
2024-05-10,15,20,24,26,27,2
2024-05-13,4,11,24,26,33,10
2024-05-15,2,15,24,32,33,5
2024-05-17,10,13,16,21,27,7
2024-05-20,10,13,23,30,35,5
2024-05-22,6,18,26,31,34,9
2024-05-24,16,17,26,30,35,4
2024-05-27,5,15,23,30,34,5
2024-05-29,13,15,19,22,27,8
2024-05-31,12,16,22,29,33,5
2024-06-03,6,7,17,28,33,4
2024-06-05,2,4,24,31,33,8
2024-06-07,13,14,20,29,34,3
2024-06-10,7,9,19,24,27,2
2024-06-12,18,22,27,29,31,5
2024-06-14,3,11,13,31,34,4
2024-06-17,5,16,18,23,24,5
2024-06-19,3,4,7,11,26,8
2024-06-21,5,7,16,24,35,7
2024-06-24,4,12,24,25,33,5
2024-06-26,1,13,15,21,27,9
2024-06-28,15,24,30,31,35,9
2024-07-01,12,24,29,33,35,9
2024-07-03,9,28,31,33,34,10
2024-07-05,5,11,12,13,16,8
2024-07-08,20,21,28,33,34,1
2024-07-10,1,2,3,13,35,3
2024-07-12,1,9,10,28,30,3
2024-07-15,4,5,17,22,28,4
2024-07-17,4,20,22,29,31,5
2024-07-19,7,8,9,20,26,8
2024-07-22,9,15,22,26,28,4
2024-07-24,3,22,25,27,34,6
2024-07-26,4,9,16,22,23,4
2024-07-29,12,13,22,23,26,5
2024-07-31,1,9,17,25,26,10
2024-08-02,5,12,14,19,25,4
2024-08-05,2,9,22,25,28,2
2024-08-07,3,6,8,18,28,2
2024-08-09,1,5,21,25,35,10
2024-08-12,1,2,9,16,25,4
2024-08-14,3,35,17,16,9,3
2024-08-16,1,7,11,13,32,7
2024-08-19,1,21,30,33,35,7
2024-08-21,2,15,28,30,33,2
2024-08-23,1,5,21,26,27,2
2024-08-26,3,19,27,33,34,4
2024-08-28,22,26,28,33,34,1
2024-08-30,7,11,13,23,31,6
2024-09-02,3,16,17,29,31,1
2024-09-04,15,26,28,29,31,7
2024-09-06,7,16,27,28,34,2
2024-09-09,3,10,14,20,34,3
2024-09-11,1,10,23,25,27,2
2024-09-13,3,5,8,24,26,10
2024-09-16,3,4,5,13,20,5
2024-09-18,6,9,18,22,27,1
2024-09-20,12,13,19,26,34,10
2024-09-23,18,21,26,27,29,5
2024-09-25,5,12,17,18,28,3
2024-09-27,7,24,25,34,35,5
2024-09-30,8,11,14,17,24,10
2024-10-02,1,2,15,31,33,8
2024-10-04,2,15,21,23,29,2
2024-10-07,8,14,21,27,32,10
2024-10-09,17,19,29,30,35,9
2024-10-11,14,28,29,31,35,8
2024-10-14,3,5,9,15,28,9
2024-10-16,10,13,20,27,29,6
2024-10-18,2,5,9,14,33,4
2024-10-21,6,9,10,13,34,8
2024-10-23,2,4,7,21,31,3
2024-10-25,2,4,9,24,27,4
2024-10-28,12,15,17,29,30,6
2024-10-30,6,7,9,17,23,5
2024-11-01,11,15,19,20,25,6
2024-11-04,2,7,9,22,24,4
2024-11-06,10,18,19,21,28,5
2024-11-08,5,7,10,20,32,10
2024-11-11,3,8,21,25,27,4
2024-11-13,2,11,18,21,28,10
2024-11-15,1,8,21,22,23,10
2024-11-18,2,12,23,25,34,1
2024-11-20,14,17,24,28,32,2
2024-11-22,6,8,10,18,33,2
2024-11-25,8,11,15,18,22,3
2024-11-27,7,10,18,21,29,7
2024-11-29,9,14,15,22,28,7
2024-12-02,4,9,15,16,21,7
2024-12-04,1,3,7,14,25,7
2024-12-06,22,25,29,32,34,2
2024-12-09,1,11,21,30,34,3
2024-12-11,3,8,9,19,33,8
2024-12-13,1,5,12,26,31,4
2024-12-16,4,12,13,20,31,5
2024-12-18,6,13,24,25,33,2
2024-12-20,1,2,3,22,25,4
2024-12-23,1,9,17,33,35,2
2024-12-27,4,6,27,30,35,1
2024-12-30,4,18,19,22,27,2
